Código,Cotação,P/L,P/VP,RSR,DY,P/Ativo,P/Cap.Giro,P/EBIT,P/ACL,EV/EBITDA,EV/EBIT,Mrg.Liq,Lig.Corr,ROIC,ROE,Liquidez 2 meses,Patrimonio Líquido,Dív. Bruta/Patrimonio,Cresc. Rec. 5a
AZEV3,"0,20","-0,19","1,06","0,339","0,00%","0,101","-0,41","-0,52","-0,14","-1,44","-25,01","-65,52%","-176,95%","0,45","-22,49%","-553,52%","336.659,00","111.704.000,00","2,15","23,36%"
DOCA4,"5,00","-0,18","-0,01","-1,393","0,00%","0,014","-0,15","-0,12","-0,01","-6,71","-6,62","1.165,92%","636,17%","0,61","-12,48%","8,24%","0,00","-390.317.000,00","-0,82","-38,80%"
AERI3,"2,61","-0,18","-0,23","0,217","0,00%","0,100","-1,41","-0,39","-0,09","-4,73","-6,07","-55,16%","-120,81%","0,81","-28,44%","129,43%","160.481,00","-696.291.000,00","-2,61","-25,14%"
MEND6,"9,50","-0,18","-0,01","38,182","0,00%","0,104","-13,05","-0,39","-0,01","-56,00","-56,09","-9.720,70%","-21.717,20%","0,15","-26,58%","3,39%","0,00","-16.440.000.000,00","-0,84","20,53%"
PLAS3,"2,86","-0,17","-0,05","0,031","0,00%","0,058","-0,07","-1,25","-0,03","-9,69","7,37","-2,46%","-17,70%","0,27","-6,06%","28,20%","4.289,36","-723.222.000,00","-0,37","16,78%"
MNDL4,"0,38","-0,17","0,03","0,004","0,00%","0,003","-0,02","0,04","-0,01","5,06","4,38","10,49%","-2,16%","0,77","7,99%","-16,34%","0,00","134.482.000,00","4,03","10,72%"
DUQE4,"2,95","-0,17","-1,19","1,275","0,00%","0,045","-0,08","-0,17","-0,06","-1,23","-1,35","-732,92%","-767,60%","0,33","-28,21%","715,74%","0,00","-6.987.000,00","-7,19","-42,70%"
BOBR3,"1,00","-0,16","-0,16","0,154","0,00%","0,291","-1,42","1,59","-0,13","2,52","2,18","9,70%","-93,58%","0,71","28,50%","100,06%","0,00","-1.583.160.000,00","-0,11","9,92%"
FTRX3,"0,13","-0,15","-0,02","0,206","0,00%","0,023","-0,04","-0,19","-0,01","-1,77","-2,27","-106,22%","-138,83%","0,06","-11,99%","13,50%","0,00","-154.535.000,00","-0,16","-31,25%"
AZEV4,"0,14","-0,13","0,74","0,237","0,00%","0,071","-0,28","-0,36","-0,10","-1,28","-22,30","-65,52%","-176,95%","0,45","-22,49%","-553,52%","1.158.190,00","111.704.000,00","2,15","23,36%"
SJOS4,"0,09","-0,13","-0,01","0,661","0,00%","0,400","-0,01","0,73","-0,01","14,41","14,41","90,80%","-525,31%","0,01","-4,15%","4,95%","0,00","-195.068.000,00","-0,12","-16,00%"
FTRX4,"0,11","-0,13","-0,02","0,174","0,00%","0,019","-0,03","-0,16","-0,01","-1,74","-2,24","-106,22%","-138,83%","0,06","-11,99%","13,50%","0,00","-154.535.000,00","-0,16","-31,25%"
TEKA3,"42,50","-0,13","-0,01","0,066","0,00%","0,017","-0,01","1,33","-0,01","39,59","31,09","4,95%","-52,80%","0,05","2,13%","7,76%","0,00","-2.202.960.000,00","-0,28","23,75%"
MEND5,"6,50","-0,12","0,00","26,124","0,00%","0,071","-8,93","-0,27","0,00","-55,88","-55,97","-9.720,70%","-21.717,20%","0,15","-26,58%","3,39%","0,00","-16.440.000.000,00","-0,84","20,53%"
TXRX4,"1,57","-0,12","-0,02","0,058","0,00%","0,039","-0,06","-0,96","-0,01","-51,54","-128,40","-6,00%","-49,27%","0,38","-4,23%","14,34%","399,02","-398.269.000,00","-0,88","-11,85%"
FBMC4,"1,96","-0,09","-0,02","0,095","0,00%","0,034","-0,04","-0,07","-0,02","-0,53","-0,59","-135,59%","-101,97%","0,31","-64,70%","24,19%","0,00","-63.552.000,00","-0,15","-31,66%"
CTSA3,"2,10","-0,09","0,15","0,411","0,00%","0,022","-0,05","-0,19","-0,03","-3,32","-3,82","-212,43%","-453,89%","0,28","-12,97%","-162,83%","452,83","99.103.000,00","2,41","-50,19%"
RPMG3,"2,12","-0,09","-0,02","0,017","0,00%","0,014","-0,05","-0,08","-0,02","-0,05","-0,05","-21,08%","-19,19%","0,76","-18,65%","22,32%","10.186,00","-7.433.370.000,00","0,00","43,64%"
VPTA4,"10,50","-0,07","-0,01","0,260","0,00%","0,054","-0,02","-0,13","-0,01","-6,89","-6,89","-193,57%","-396,38%","0,23","-45,00%","10,11%","0,00","-867.658.000,00","-0,34","-58,91%"
PMAM3,"0,56","-0,06","-0,01","0,150","0,00%","0,070","-0,01","-0,26","-0,01","-17,68","-23,44","-57,73%","-236,74%","0,03","-63,13%","17,65%","1.387.890,00","-7.544.090.000,00","-0,76","-43,59%"
GFSA3,"1,39","-0,06","0,02","0,055","0,00%","0,007","0,07","-0,11","-0,05","-4,78","-5,04","-48,23%","-87,87%","1,25","-6,80%","-35,43%","2.051.360,00","1.537.010.000,00","1,04","-6,49%"
TEKA4,"21,25","-0,06","0,00","0,033","0,00%","0,009","0,00","0,67","0,00","38,92","30,57","4,95%","-52,80%","0,05","2,13%","7,76%","0,00","-2.202.960.000,00","-0,28","23,75%"
SNSY5,"2,13","-0,06","-0,01","0,017","0,00%","0,029","-0,09","-0,42","-0,01","-7,01","-14,88","-3,97%","-29,12%","0,65","-7,82%","12,56%","7.423,29","-2.251.150.000,00","-0,12","6,89%"
CTNM4,"0,86","-0,06","-0,07","0,041","0,00%","0,009","-0,01","-0,06","-0,01","-2,95","-3,75","-67,36%","-137,36%","0,24","-17,07%","126,34%","0,00","-375.916.000,00","-3,54","-24,85%"
VPSC4,"9,99","-0,05","4,30","0,029","0,00%","0,033","-0,06","-0,13","-0,06","-0,20","-0,20","-22,82%","-55,90%","0,43","-28,56%","-8.246,83%","0,00","1.232.000,00","6,15","-10,02%"
TENE7,"9,80","-0,05","-0,01","1,070","0,00%","0,122","-0,52","-3,03","-0,01","-3,03","15,78","-35,29%","-2.083,75%","0,04","-4,15%","14,09%","0,00","-163.854.000,00","0,00","609,67%"
CTSA4,"1,13","-0,05","0,08","0,221","0,00%","0,012","-0,03","-0,10","-0,02","-3,23","-3,71","-212,43%","-453,89%","0,28","-12,97%","-162,83%","707,81","99.103.000,00","2,41","-50,19%"
VAGV3,"1,14","-0,05","-0,01","0,014","0,00%","0,037","-0,08","-0,27","-0,01","-8,90","-8,90","-5,08%","-29,29%","0,52","-15,14%","20,73%","0,00","-8.194.580.000,00","-0,31","1,06%"
DHBI4,"1,01","-0,04","-0,01","0,046","0,00%","0,018","-0,01","-0,20","-0,01","-21,09","-51,10","-23,58%","-154,81%","0,12","-10,50%","21,03%","0,00","-456.340.000,00","-0,99","-23,62%"
VAGV4,"1,02","-0,04","-0,01","0,012","0,00%","0,033","-0,07","-0,24","-0,01","-8,87","-8,87","-5,08%","-29,29%","0,52","-15,14%","20,73%","0,00","-8.194.580.000,00","-0,31","1,06%"
JFEN3,"0,70","-0,04","-0,03","0,051","0,00%","0,012","0,75","-0,10","-0,02","-3,88","-3,92","-52,11%","-127,79%","1,02","-13,06%","78,88%","9.338,07","-282.970.000,00","-1,23","190,64%"
GAFP3,"0,12","-0,04","-0,01","0,372","0,00%","0,015","-0,09","-0,48","-0,01","-46,92","-46,92","-77,57%","-981,28%","0,51","-3,21%","38,79%","0,00","-80.712.500,00","-1,43","-58,09%"
ARTE3,"7,70","-0,04","-0,04","0,000","0,00%","0,103","0,00","-0,52","0,00","-15,85","-15,85","0,00%","0,00%","0,00","0,00%","102,90%","0,00","-33.570.000,00","0,00","-64,35%"
TROR3,"2,63","-0,03","-0,01","0,598","0,00%","0,532","-0,01","-6,57","-0,01","-728,92","-728,92","-9,11%","-1.745,52%","0,01","-9,77%","21,14%","0,00","-1.959.650.000,00","-0,80","6,34%"
VPSC3,"6,03","-0,03","2,59","0,017","0,00%","0,020","-0,03","-0,08","-0,04","-0,15","-0,15","-22,82%","-55,90%","0,43","-28,56%","-8.246,83%","0,00","1.232.000,00","6,15","-10,02%"
VPTA3,"5,00","-0,03","0,00","0,124","0,00%","0,026","-0,01","-0,06","0,00","-6,82","-6,82","-193,57%","-396,38%","0,23","-45,00%","10,11%","0,00","-867.658.000,00","-0,34","-58,91%"
ARTE4,"6,81","-0,03","-0,03","0,000","0,00%","0,091","0,00","-0,46","0,00","-15,79","-15,79","0,00%","0,00%","0,00","0,00%","102,90%","0,00","-33.570.000,00","0,00","-64,35%"
TROR4,"1,56","-0,02","0,00","0,355","0,00%","0,316","0,00","-3,90","0,00","-726,24","-726,24","-9,11%","-1.745,52%","0,01","-9,77%","21,14%","0,00","-1.959.650.000,00","-0,80","6,34%"
OIBR3,"0,10","-0,02","0,00","0,145","0,00%","0,002","-0,01","-0,01","0,00","-3,87","-5,16","-1.141,46%","-808,87%","0,59","-17,97%","11,89%","168.294,00","-15.496.000.000,00","-0,72","-45,94%"
SGPS3,"1,64","-0,02","-0,02","0,030","0,00%","0,007","-0,01","-0,05","-0,01","-3,04","-3,99","-62,34%","-176,80%","0,22","-17,44%","127,05%","0,00","-764.048.000,00","-1,43","-22,01%"
PDGR3,"1,60","-0,02","0,00","0,042","0,00%","0,012","-0,01","-0,13","0,00","-9,04","-9,38","-31,45%","-266,41%","0,27","-34,10%","10,14%","185.191,00","-3.228.650.000,00","-0,12","-21,92%"
GAFP4,"0,05","-0,02","-0,01","0,155","0,00%","0,006","-0,04","-0,20","0,00","-46,65","-46,65","-77,57%","-981,28%","0,51","-3,21%","38,79%","0,00","-80.712.500,00","-1,43","-58,09%"
MILK33,"0,30","-0,02","-0,02","0,077","0,00%","0,029","-0,08","-0,04","-0,02","-0,11","-0,12","-176,80%","-508,08%","0,50","-70,91%","165,12%","0,00","-516.285.000,00","-0,04","-42,04%"
RPMG4,"0,26","-0,01","0,00","0,002","0,00%","0,002","-0,01","-0,01","0,00","0,02","0,02","-21,08%","-19,19%","0,76","-18,65%","22,32%","0,00","-7.433.370.000,00","0,00","43,64%"
OSXB3,"1,42","0,00","0,00","0,054","0,00%","0,006","-0,01","-1,09","0,00","-1.872,72","-2.087,83","-4,96%","-1.339,08%","0,04","-0,62%","11,15%","1.628,14","-9.899.380.000,00","-0,78","33,51%"
CGOS4,"16,00","0,00","0,00","0,000","0,00%","0,000","0,00","-0,16","0,00","-313,85","-313,85","-0,20%","-10,48%","0,54","-0,08%","-39,02%","0,00","453.387.000,00","2,48","8,97%"
TENE5,"0,50","0,00","0,00","0,055","0,00%","0,006","-0,03","-0,15","0,00","-0,15","0,78","-35,29%","-2.083,75%","0,04","-4,15%","14,09%","0,00","-163.854.000,00","0,00","609,67%"
CBMA3,"0,01","0,00","0,00","0,088","0,00%","0,008","-0,28","0,05","0,00","1.445,63","1.272,69","177,87%","-13.196,20%","0,50","15,29%","4,96%","0,00","-29.580.200.000,00","-1,02","114,30%"
CBMA4,"0,01","0,00","0,00","0,088","0,00%","0,008","-0,28","0,05","0,00","1.445,63","1.272,69","177,87%","-13.196,20%","0,50","15,29%","4,96%","0,00","-29.580.200.000,00","-1,02","114,30%"
OSAO4,"8,98","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","-8,44","6,42","-2,46%","-17,70%","0,27","-6,06%","28,20%","0,00","-723.222.000,00","-0,37","16,78%"
SALM3,"5,70","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","1,10","1,10","10,22%","4,13%","1,31","25,78%","19,53%","0,00","475.600.000,00","0,80","24,53%"
AGEI3,"7,80","0,00","1,25","0,000","0,00%","0,470","1,39","0,00","-12,59","0,00","0,00","0,00%","0,00%","2,45","0,00%","0,00%","0,00","1.878.210.000,00","1,01","0,00%"
INHA3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","-4,67","-4,92","-48,23%","-87,87%","1,25","-6,80%","-35,43%","0,00","1.537.010.000,00","1,04","-6,49%"
LATS3,"22,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","1,27","1,27","11,74%","1,30%","1,67","11,63%","1,84%","0,00","680.646.000,00","0,39","15,37%"
CZRS3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","3,34%","0,00","1.145.670.000,00","0,00","14,44%"
BPNM3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","9,67%","0,00","7.792.670.000,00","0,00","-1,53%"
BSGR3,"1.091,28","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00","0,00","0,00%"
VNET3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","11.107.800.000,00","0,00","1,78%"
MSAN4,"6,44","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,21","0,21","6,27%","2,42%","1,18","11,78%","11,81%","0,00","2.533.030.000,00","0,39","101,35%"
GALO4,"0,25","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","13,98%","-184,58%","0,00","39,37%","7,62%","0,00","-60.607.000,00","0,00","-28,97%"
ARPS3,"0,30","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","-14,08","-14,08","-4,92%","-11,59%","0,91","-6,64%","20,34%","0,00","-12.690.000,00","-1,24","-17,53%"
CMMA4,"0,81","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,03","0,03","0,00%","0,00%","0,00","0,00%","-1,92%","0,00","-79.623.000,00","0,00","0,00%"
CSPC4,"1,20","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","1,43","1,43","38,62%","18,85%","1,43","29,18%","45,33%","0,00","2.126.670.000,00","1,48","41,15%"
BOVH3,"15,71","0,00","6,16","0,000","0,00%","4,874","6,90","0,00","6,91","0,00","0,00","0,00%","0,00%","4,40","0,00%","0,00%","0,00","1.843.320.000,00","0,00","0,00%"
ABCB3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","14,82%","0,00","6.758.950.000,00","0,00","12,09%"
JFAB4,"0,06","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","-112,33","-112,33","0,00%","0,00%","0,00","0,00%","2,34%","0,00","-10.183.000,00","0,00","0,00%"
PTIP4,"25,15","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","3,62","3,62","13,73%","7,55%","0,70","23,13%","-121,74%","0,00","-155.957.000,00","-9,02","62,11%"
EQMA5B,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","4.422.970.000,00","0,00","7,95%"
VVAX3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","-4,44","-4,44","-7,36%","-37,76%","2,19","-6,52%","-92,03%","0,00","144.676.000,00","1,55","0,00%"
BBTG13,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-12,50%","0,00","8.000,00","0,00","0,00%"
ECIS3,"211,65","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","1,53","1,53","34,90%","14,18%","1,38","12,48%","7,33%","0,00","129.346.000,00","0,38","4,66%"
LECO3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","-3,00","-3,00","-2,14%","-4,72%","0,82","-3,48%","-14,82%","0,00","105.928.000,00","0,20","3,58%"
VSPT3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","3.382.950.000,00","0,00","7,64%"
GEPA4,"39,91","0,00","0,00","0,000","15,43%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","18.682,00","0,00","0,00","1,66%"
GPIV33,"4,42","0,00","0,23","-6,068","0,00%","0,120","0,89","-2,36","2,57","0,56","0,56","257,32%","0,00%","3,34","-6,05%","0,00%","0,00","1.318.490.000,00","0,03","-40,99%"
JBDU3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","56.569.000,00","0,00","0,00%"
EGGY3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","973.738.000,00","0,00","16,83%"
REPA3,"1,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","4,54","4,54","5,18%","1,22%","1,99","4,05%","1,91%","0,00","378.378.000,00","0,42","1,09%"
SEBB4,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","-0,23","-0,23","9,24%","7,40%","2,44","24,15%","23,01%","0,00","145.783.000,00","0,01","50,04%"
SLCP3,"610,02","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00","0,00","0,00%"
TNEP4,"3,95","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","-1,09","-1,09","20,92%","25,42%","2,39","20,53%","22,80%","0,00","955.105.000,00","0,06","8,15%"
VGOR3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","6,77","6,77","4,50%","-4,59%","1,04","6,00%","-24,29%","0,00","135.178.000,00","1,89","4,77%"
CCHI4,"0,02","0,00","-0,01","0,000","0,00%","0,077","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","-160.477.000,00","0,00","20,36%"
SGEN3,"5,00","0,00","0,77","593,760","0,00%","0,493","-8,34","-31,73","-2,01","-32,42","-32,42","-1.871,17%","0,00%","0,65","-1,59%","0,00%","0,00","156.981.000,00","0,02","-59,85%"
BBTG11,"15,01","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00","0,00","0,00%"
SALM4,"5,90","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","1,10","1,10","10,22%","4,13%","1,31","25,78%","19,53%","0,00","475.600.000,00","0,80","24,53%"
ODER3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","588.922.000,00","0,00","3,90%"
BERG3,"33,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","-10,49","-10,49","-8,60%","-32,60%","0,46","-5,58%","-102,71%","0,00","9.538.000,00","2,86","-8,00%"
SASG3,"0,98","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00","0,00","0,00%"
ALBA3,"2,15","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","-1,27","-1,27","9,50%","9,62%","1,83","20,40%","19,77%","0,00","354.860.000,00","0,03","14,69%"
SFSA3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","6,25%","0,00","739.524.000,00","0,00","0,15%"
ARPS4,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","-14,08","-14,08","-4,92%","-11,59%","0,91","-6,64%","20,34%","0,00","-12.690.000,00","-1,24","-17,53%"
BMEF3,"11,00","0,00","4,16","0,000","0,00%","3,482","10,24","0,00","11,30","0,00","0,00","0,00%","0,00%","3,70","0,00%","0,00%","0,00","2.674.780.000,00","0,00","0,00%"
ESTC4,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","4,64","2,45","16,57%","3,26%","1,41","11,12%","6,16%","0,00","2.945.030.000,00","1,94","6,37%"
ICPI3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00","0,00","0,00%"
ILLS4,"100,01","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,73","0,73","8,43%","-10,22%","0,50","8,14%","36,09%","0,00","-18.567.000,00","-0,22","9,33%"
EQMA6B,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","4.422.970.000,00","0,00","7,95%"
VVAX4,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","-4,44","-4,44","-7,36%","-37,76%","2,19","-6,52%","-92,03%","0,00","144.676.000,00","1,55","0,00%"
MSAN3,"6,44","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,21","0,21","6,27%","2,42%","1,18","11,78%","11,81%","0,00","2.533.030.000,00","0,39","101,35%"
GALO3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","13,98%","-184,58%","0,00","39,37%","7,62%","0,00","-60.607.000,00","0,00","-28,97%"
CSPC3,"1,24","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","1,43","1,43","38,62%","18,85%","1,43","29,18%","45,33%","0,00","2.126.670.000,00","1,48","41,15%"
ECIS4,"145,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","1,53","1,53","34,90%","14,18%","1,38","12,48%","7,33%","0,00","129.346.000,00","0,38","4,66%"
MLPA3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","-2,08","-2,08","6,66%","8,92%","0,00","0,00%","45,13%","0,00","44.578.000,00","0,00","-7,51%"
VSPT4,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","3.382.950.000,00","0,00","7,64%"
CCTY3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00","0,00","0,00%"
PTIP3,"22,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","3,62","3,62","13,73%","7,55%","0,70","23,13%","-121,74%","0,00","-155.957.000,00","-9,02","62,11%"
BPAT33,"20,00","0,00","0,82","0,000","35,72%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","876.492.000,00","0,00","0,00%"
REPA4,"1,08","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","4,54","4,54","5,18%","1,22%","1,99","4,05%","1,91%","0,00","378.378.000,00","0,42","1,09%"
DAYC3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","17,33%","0,00","3.009.030.000,00","0,00","8,15%"
SGEN4,"0,60","0,00","0,09","71,251","0,00%","0,059","-1,00","-3,81","-0,24","-4,50","-4,50","-1.871,17%","0,00%","0,65","-1,59%","0,00%","0,00","156.981.000,00","0,02","-59,85%"
GEPA3,"38,00","0,00","0,00","0,000","16,21%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","9.034,21","0,00","0,00","1,66%"
GPAR3,"10,00","0,00","1,35","0,000","15,16%","1,063","7,71","0,00","7,85","0,00","0,00","0,00%","0,00%","1,66","0,00%","0,00%","71,43","590.513.000,00","0,00","-51,29%"
DUFB11,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00","0,00","0,00%"
SEBB3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","-0,23","-0,23","9,24%","7,40%","2,44","24,15%","23,01%","0,00","145.783.000,00","0,01","50,04%"
CLSC6,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","3.968.460.000,00","0,00","1,53%"
IRBR3,"53,50","0,00","0,83","0,840","1,15%","0,280","0,00","7,82","0,00","0,00","0,00","10,74%","0,00%","0,00","0,00%","0,00%","44.122.400,00","5.282.690.000,00","0,00","-25,50%"
TIMS3,"25,75","0,00","0,00","0,000","6,06%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","135.160.000,00","0,00","0,00","14,89%"
PRBC3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","10,02%","0,00","1.250.570.000,00","0,00","-7,74%"
TNEP3,"3,01","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","-1,09","-1,09","20,92%","25,42%","2,39","20,53%","22,80%","0,00","955.105.000,00","0,06","8,15%"
CCHI3,"0,02","0,00","-0,01","0,000","0,00%","0,077","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","0,00","-160.477.000,00","0,00","20,36%"
ENER5,"6,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","3,78","3,17","23,92%","8,56%","1,49","17,21%","36,05%","0,00","1.129.060.000,00","4,79","4,74%"
ENER3,"10,50","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","3,78","3,17","23,92%","8,56%","1,49","17,21%","36,05%","0,00","1.129.060.000,00","4,79","4,74%"
ENER6,"12,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","3,78","3,17","23,92%","8,56%","1,49","17,21%","36,05%","0,00","1.129.060.000,00","4,79","4,74%"
TEFC11,"35,50","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","3,45","3,45","23,54%","14,18%","0,61","14,85%","46,72%","0,00","45.856.000.000,00","2,95","12,91%"
CAFE4,"0,50","0,00","0,00","0,071","0,00%","0,004","0,00","-0,13","0,00","-45,27","-53,49","-53,07%","2.163,80%","0,02","-2,81%","-64,17%","0,00","-377.387.000,00","-0,98","-11,30%"
SCAR4,"10,00","0,01","0,00","0,002","0,00%","0,000","0,00","0,01","0,00","6,55","3,61","21,70%","26,78%","1,78","2,67%","6,03%","0,00","1.068.230.000,00","0,96","3,65%"
MLPA12,"40,00","0,01","0,00","0,001","0,00%","0,002","0,00","0,01","0,00","-2,06","-2,06","6,66%","8,92%","0,00","0,00%","45,13%","0,00","44.578.000,00","0,00","-7,51%"
MLPA4,"45,00","0,01","0,00","0,001","0,00%","0,003","0,00","0,01","0,00","-2,06","-2,06","6,66%","8,92%","0,00","0,00%","45,13%","0,00","44.578.000,00","0,00","-7,51%"
RCTB42,"20,00","0,01","0,00","0,004","0,00%","0,000","0,00","-0,01","-0,01","4,95","52,18","-61,68%","28,62%","6,29","-11,05%","8,02%","0,00","1.752.090.000,00","0,01","13,41%"
CESP4,"16,29","0,02","0,00","0,003","0,00%","0,000","0,01","0,01","0,00","5,74","3,73","55,96%","19,64%","1,96","7,69%","7,03%","0,00","4.779.440.000,00","1,34","-6,51%"
CAFE3,"2,00","0,02","-0,01","0,283","0,00%","0,015","-0,01","-0,53","-0,01","-45,67","-53,96","-53,07%","2.163,80%","0,02","-2,81%","-64,17%","0,00","-377.387.000,00","-0,98","-11,30%"
RCTB41,"33,51","0,02","0,00","0,007","0,00%","0,001","0,00","-0,01","-0,01","4,95","52,13","-61,68%","28,62%","6,29","-11,05%","8,02%","0,00","1.752.090.000,00","0,01","13,41%"
RCTB31,"41,00","0,03","0,00","0,009","0,00%","0,001","0,00","-0,01","-0,01","4,94","52,10","-61,68%","28,62%","6,29","-11,05%","8,02%","0,00","1.752.090.000,00","0,01","13,41%"
